Column,MAE,RMSE,POCID
ABBV,0.7675040108816843,1.2444874778219632,0.3917921473523156
ACN,1.7747802734375,2.1802167859612913,0.5375585446563584
AEP,0.19876534598214896,0.2842617952134883,0.20353087361282243
AIZ,0.8828822544642979,1.4129030559086762,0.4661926263539438
ALLE,0.99884033203125,1.3233739965725617,0.7484993626680332
AMAT,3.0721653529575854,4.10290675628837,1.4904154260611802
AMP,1.7792053222656412,2.7701105638286445,0.4098013647225857
AMZN,1.124479021344866,1.6813045397263346,0.6324912132916081
AVB,0.9302542550223133,1.5057056821077748,0.42845448354822296
AVY,1.1325116838727678,1.5658649705328502,0.527914185793355
AXP,2.1892198835100487,3.1101852953493703,0.8727405743711228
BDX,0.4791455950055682,0.6484934738089791,0.20329483221278605
BF-B,0.2223952157156808,0.30003515433262984,0.4936317707081592
BMY,0.324516841343472,0.43595774639458856,0.6658316679649576
BR,0.64404296875,0.8655368262621997,0.3074044001874333
CARR,0.5929663521902901,0.885996878785867,0.8603512263629116
CDW,1.9904327392578125,2.6681047511990523,0.8898686411349216
CE,1.0938764299665178,1.4105393978369996,0.8427770351260496
CHTR,3.6319798060825974,4.8389543593249105,1.0405796576119242
CNC,0.15122222900390625,0.18606893922734544,0.1932164371126849
CNP,0.2537264142717639,0.35669199453834766,0.9690554751009958
COP,0.6520124162946388,0.9386618567760086,0.588960035574827
CTAS,3.3228585379464284,4.609525931152529,0.4280891509934371
CZR,0.37756783621651785,0.7046342794201051,1.023536085534076
DG,0.6840776715959842,0.9433748022077895,0.5563093282448146
DPZ,5.213618687220974,7.054111578686565,1.2104868282114098
DXC,0.18531363351004515,0.2871394088663375,0.9360625035578725
EWA,0.2515046255929135,0.3280212827114269,0.9931921233969996
EWC,0.21543121337890625,0.3199248822577471,0.5447059786757802
EWG,0.21665028163364905,0.2913000627396311,0.6813514174459161
EWH,0.0992552893502369,0.13897169899847622,0.6321417818622546
EWJ,0.6128278459821429,0.8117271792196105,0.8715729495918981
EWL,0.34376743861607145,0.4495982974853024,0.6672689776485266
EWQ,0.2931889125279028,0.3909995091260686,0.7456482979144966
EWT,0.6031668526785714,0.8228691195858862,1.117892435981282
EWU,0.23757607596260957,0.31735294037713396,0.6463901255328611
EWY,0.6081717354910714,0.9614460870575546,0.9206553026453842
EWZ,0.3731585911342071,0.5028692673120452,1.2277838486201877
FTV,0.5829990931919643,0.9026044519180767,0.8189175301711595
GOOG,1.4188472202845983,1.8635649636729932,0.8507808373693528
GPC,1.1855010986328125,1.8329985877972144,0.8440648174782448
GSG,0.12375422886439681,0.17216406317679803,0.589988158928035
HIG,0.4018587384905134,0.5214162753004186,0.36139303736161627
HIGH.L,0.004618576594761693,0.006642390057725239,0.08002682346247957
HST,0.2248584202357701,0.2739482157218529,1.3376467367351579
HYG,0.13101414271763392,0.18494086833743723,0.16583768747052716
IAU,0.21203395298549207,0.3109667468430015,0.4478284010294121
ICLN,0.14792346954345753,0.1987799130547737,1.0386842022841114
IEAA.L,0.0033127239772251676,0.004206552059257747,0.06504556078325818
IEF,0.230698721749444,0.29409876833631526,0.23683963832652702
IEFM.L,1.5077863420759579,2.2490242125784645,0.1595903000217418
IEMG,0.4058538164411282,0.5044666334667747,0.7431858926114691
IEUS,0.5594226292201451,0.7131414207322379,0.949553440846746
IEVL.L,0.0335625239780971,0.0437968564226428,0.38921451581342953
IGF,0.2699296133858797,0.35642917612220004,0.5233222474041932
INDA,0.1458876473563048,0.1847109495956087,0.2574920664203607
IUMO.L,0.038953644888741375,0.04894283867831015,0.2783539316664108
IUVL.L,0.0417209352765762,0.06903029392478763,0.4333677777833257
IVV,2.70953369140625,3.603283753727321,0.4829065913561692
IWM,2.368994576590414,3.1736143487732864,1.1036986473849324
IXN,0.7555967058454242,1.016776593395188,0.9183395952564838
JPEA.L,0.017578193119594028,0.02202265612040796,0.3075568690110278
JPM,0.9085802350725406,1.197679081092446,0.42190862675413887
KR,0.3646371023995556,0.4467725803363641,0.693490119471771
LQD,0.27234758649553975,0.3433491699470949,0.2440203157557298
MCHI,0.3745040893554708,0.4831273108789369,0.8827587461315977
META,2.8501674107142856,3.869216255097484,0.5383565894332696
MVEU.L,0.16998944963727577,0.2023140870475461,0.2788181486363005
OGN,0.3755008152553003,0.6121663018654906,1.7912673510201635
PG,0.5490613664899554,0.8707838883687513,0.32458931139664243
PPL,0.08878108433314733,0.12777194210607232,0.28236975568492206
PRU,0.8972309657505539,1.1208043710312625,0.7831878855001164
PYPL,0.6749659946986607,1.1049100126321705,0.960473665180466
REET,0.13328988211495588,0.20398866296132073,0.5244978290010534
ROL,0.3046967642647879,0.4368741594131425,0.6174557357407262
ROST,1.522947038922991,2.626191717156389,1.0137725525958674
SEGA.L,0.15337916782924513,0.2630877424215779,0.16177165052008394
SHY,0.07603127615792411,0.09988579730396253,0.09201572124851665
SLV,0.2738464900425492,0.40271689962766166,1.0245459149373861
SPMV.L,0.21759469168527396,0.3040663840931904,0.22670162310523084
TLT,0.4136832101004525,0.5577223768238907,0.42193505104300194
UNH,1.7282976422991072,2.557963578318743,0.2982695999347167
URI,7.598440987723214,11.680937300145905,1.0528510443933203
V,0.483978271484375,0.7192653412843698,0.1808926413832267
VRSK,0.8609967912946429,1.229834846127725,0.32082453067521094
VXX,1.1552401951381148,1.5371846392599755,2.5055170128372555
WRK,0.004121507917131696,0.007374205623426624,0.008001374590239006
XLB,0.45726340157644885,0.6390666364466864,0.5010948898440072
XLC,0.3807558332170759,0.5182248761084272,0.43773663302221655
XLE,0.6558521815708686,1.0662782596572264,0.7299063955123544
XLF,0.15918949672154017,0.2037094048139816,0.3621470549569816
XLI,0.4734725952148417,0.6486762278187038,0.37051661340720654
XLK,2.064017159598202,2.805481561706138,0.9249519973424153
XLP,0.22339085170200892,0.28732550883080626,0.27522809628184114
XLU,0.21385628836495535,0.28972971105943135,0.2854080975496583
XLV,0.36201695033482145,0.4992519880546209,0.2348863810888827
XLY,1.64492579868862,2.1828885247854,0.8880655600928076
XOM,1.1019603184291273,1.6864209959081031,0.9472244420037319
