Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 20:39:18,28.6,2.94,12,228,33.50
2024-09-04 20:39:20,29.7,2.94,12,228,33.53
2024-09-04 20:39:21,29,2.96,12,166,33.61
2024-09-04 20:39:22,38.1,2.47,8,228,27.35
2024-09-04 20:39:24,41.7,2.48,8,228,28.72
2024-09-04 20:39:25,37.7,2.49,8,228,28.78
2024-09-04 20:39:27,39.1,2.50,8,228,28.81
2024-09-04 20:39:28,39.1,2.50,8,228,28.67
2024-09-04 20:39:29,39.3,2.50,8,228,28.66
2024-09-04 20:39:31,33.3,2.51,0,166,27.26
2024-09-04 20:39:32,1.6,2.51,0,166,25.38
2024-09-04 20:39:33,3.2,2.52,0,166,25.26
2024-09-04 20:39:35,4.7,2.53,0,166,25.35
2024-09-04 20:39:36,1.6,2.53,0,166,25.36
2024-09-04 20:39:38,21.3,2.54,0,166,25.38
2024-09-04 20:39:39,1.6,2.52,0,166,25.43
2024-09-04 20:39:40,3.2,2.52,0,166,25.34
2024-09-04 20:39:42,3.2,2.53,0,166,25.34
2024-09-04 20:39:43,1.6,2.53,0,166,25.28
2024-09-04 20:39:44,7.7,2.53,0,166,25.29
2024-09-04 20:39:46,4.7,2.53,0,166,25.27
2024-09-04 20:39:47,1.6,2.53,0,166,25.27
