Column,MAE,RMSE,POCID
ABBV,3.492405482700897,6.162382520027611,1.7827881341239225
ACN,2.809116908482143,3.5938392833908983,0.8508460566605499
AEP,0.7657873971121631,1.2401480640386209,0.7841476448813457
AIZ,1.8968331473214246,2.5059223985036465,1.0015940656113291
ALLE,1.5498722621372767,2.7194573649218228,1.1614252681081363
AMAT,5.368286132812496,8.146636096027411,2.6043443449915515
AMP,5.637974330357143,9.336877248977222,1.298585130078824
AMZN,2.9549734933035716,4.127614358831661,1.6620983891623142
AVB,2.118277413504456,3.2915967277356444,0.9756316085790414
AVY,2.0820770263671795,3.5935219124094187,0.9705489257072991
AXP,4.312942504882817,7.90151375985861,1.7193704238178145
BDX,0.5465131487165138,0.7393374313342228,0.23187795114575543
BF-B,0.5708307538713707,0.7029435399440098,1.2670245396305537
BMY,0.5986911228724898,0.6970025810938738,1.228372331271682
BR,3.308046613420767,4.779207369410253,1.578944471615553
CARR,1.4981591360909599,2.4063645135334846,2.173720389464898
CDW,3.3510611397879626,4.360912226346501,1.498168797170749
CE,1.3264966692243303,1.6974153220729191,1.0219992856301694
CHTR,4.959542410714278,5.869291630210759,1.4209327196725927
CNC,0.2849578857421875,0.3277739419349474,0.36409030453351404
CNP,0.2662326267787393,0.3513222032189332,1.0168203628736987
COP,0.6016333443777901,0.784621167354535,0.5434528347196738
CTAS,19.913992745535715,36.83248858213213,2.5655513618688057
CZR,0.4977139064243862,0.8433691414811448,1.3492360700061217
DG,1.5391954694475467,1.7352276839767349,1.2517128291120991
DPZ,6.562430245535722,8.138896627797312,1.5236510089907296
DXC,0.243418829781668,0.3088625740818741,1.2295654394268007
EWA,0.353584834507534,0.4720352096506398,1.3963070132711284
EWC,0.3863983154296875,0.5415763180420307,0.9769868964838178
EWG,0.364742551531112,0.49821726859878834,1.1470922290735888
EWH,0.1493921279907224,0.1915066382202968,0.951455651406288
EWJ,0.910353524344308,1.2420421382551925,1.2947184296310001
EWL,0.5984824044363839,0.7708848936381135,1.161682862567159
EWQ,0.427079336983818,0.5257355476154012,1.0861631087980812
EWT,0.9956496102469308,1.3101942337392019,1.8453089111909313
EWU,0.46438980102538857,0.7271237112506233,1.2634983575880934
EWY,0.7867409842354911,1.029492043426273,1.1909748787651233
EWZ,0.4356040954589839,0.5403275302815165,1.4332449674326144
FTV,0.6800275530133929,1.0153249582569277,0.9552098633860118
GOOG,2.4216504778180803,3.0485447975288498,1.452089972675633
GPC,1.3172542027064733,1.8679688818777203,0.9378716978517663
GSG,0.12737464904785206,0.17139033103208356,0.6072482158827205
HIG,3.843921116420205,6.271901816477719,3.456852357770358
HIGH.L,0.027713162558419362,0.042923305025533674,0.48019044875536104
HST,0.2264679500034877,0.27450461935458537,1.3472215715988385
HYG,0.5024337768554688,0.8893752487837073,0.6359806195913762
IAU,0.7836423601423002,1.2749969464821924,1.6550995733473548
ICLN,0.22853033883230975,0.27350180395656576,1.6046868926233482
IEAA.L,0.017556735447474887,0.025206288375854584,0.34472769556275346
IEF,0.3593150547572565,0.46539859163636055,0.3688795801235946
IEFM.L,9.670139857700892,16.687690865944848,1.0235273248449044
IEMG,0.6003772190638961,0.7758779451653686,1.0993906213970914
IEUS,0.7121565682547433,0.9564375404235809,1.2088011540587684
IEVL.L,0.0582927976335798,0.0950666014600745,0.6760040758904319
IGF,0.5590008326939154,0.8278371466360642,1.0837550144896335
INDA,0.8171255929129454,1.419432009217235,1.4422287373669396
IUMO.L,0.2563877105712888,0.49393056353706155,1.8320885625030394
IUVL.L,0.07577487400599862,0.10048199888583476,0.7870961794623982
IVV,8.167646135602679,13.944771201640743,1.4556785794016938
IWM,3.126257760184148,4.094273756948168,1.4565024738291985
IXN,1.6575448172433036,2.4523217486370243,2.0145522403827143
JPEA.L,0.043869222913469584,0.06503530293289944,0.7675578913838417
JPM,4.185710362025666,7.982555285382936,1.9436778862923676
KR,0.6842438834054109,0.9024251442572182,1.3013386990188667
LQD,0.6004235403878307,0.8655484646220686,0.5379726099207093
MCHI,0.4565217154366629,0.5453085474951372,1.0760858120248655
META,16.769871303013392,25.574659370051936,3.167593133647748
MVEU.L,0.42513602120535615,0.8098031202489376,0.6973117367225569
OGN,0.44980103628975904,0.6391878882343592,2.1457048241375505
PG,1.6990465436662947,2.418073521628932,1.00442752176332
PPL,0.309795652117048,0.5497135413052577,0.9853103649003478
PRU,1.2792467389787905,2.05642067989515,1.1166473146583993
PYPL,0.8433837890625,1.1605572902276793,1.2001314516537904
REET,0.18995612008230975,0.27097237736459545,0.7474803864160343
ROL,0.8041954040527344,1.197209414000995,1.6296696359308063
ROST,3.0470472063337053,4.948292129312515,2.028312702475549
SEGA.L,0.19192940848215098,0.2931250379278837,0.2024312534285431
SHY,0.3019594464983259,0.5055894408544651,0.36544192944538034
SLV,0.49000331333705255,0.6444567848095678,1.833256628219911
SPMV.L,1.2617405482700914,2.233595756987534,1.3145478320961799
TLT,0.554323468889511,0.6645891955241147,0.56538069573439
UNH,4.604457310267857,7.257115787306874,0.7946372234953231
URI,20.396022251674108,33.052865687443145,2.826102533906618
V,2.7167532784598216,3.425098102947321,1.0154188844467655
VRSK,3.2084481375558034,4.511530567687491,1.1955315958603154
VXX,2.311619349888392,2.6990949418686325,5.013504232906926
WRK,0.724839346749442,1.0108472426310786,1.4071818489002563
XLB,0.7961360386439752,1.3243171837828722,0.8724505377202142
XLC,1.2532588413783483,1.8440081185539845,1.4408112960347397
XLE,0.7494724818638373,1.0033235586642506,0.8340976414268748
XLF,0.4312651497977121,0.8171917215470298,0.981103697928142
XLI,1.5742503574916273,2.973136735768079,1.231931725316038
XLK,4.459065028599342,6.499937668540447,1.9982494260297565
XLP,0.732008797781808,1.2938711406002088,0.9018694648418069
XLU,0.6252365112304688,1.102878928516375,0.8344274772240734
XLV,1.6116507393973214,2.9830329430767346,1.0456825554884708
XLY,2.342686244419647,2.9495302107131383,1.2647737505429415
XOM,1.0276500156947606,1.4300265130543832,0.8833486981447971
