Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 20:45:55,26.2,2.93,10,228,34.60
2024-09-04 20:45:56,28.6,2.94,11,228,33.31
2024-09-04 20:45:57,27.4,2.94,10,228,33.40
2024-09-04 20:45:59,27.4,2.94,11,228,33.37
2024-09-04 20:46:00,38.1,2.48,4,228,27.19
2024-09-04 20:46:02,40.3,2.49,7,228,28.85
2024-09-04 20:46:03,39.7,2.50,7,228,28.91
2024-09-04 20:46:04,54.8,2.51,7,228,28.72
2024-09-04 20:46:06,36.5,2.53,8,228,28.77
2024-09-04 20:46:07,39.7,2.53,8,228,28.87
2024-09-04 20:46:08,88.7,2.53,8,166,28.10
2024-09-04 20:46:10,29,2.68,0,166,25.46
2024-09-04 20:46:11,30.2,2.93,0,166,25.50
2024-09-04 20:46:13,28.6,3.02,0,166,25.49
2024-09-04 20:46:14,31.2,3.43,2,381,25.87
2024-09-04 20:46:15,27.4,3.49,10,381,31.63
2024-09-04 20:46:17,27.9,3.50,10,381,31.71
2024-09-04 20:46:18,29.5,3.51,10,381,31.61
2024-09-04 20:46:19,29.7,3.51,10,381,31.68
2024-09-04 20:46:21,38.7,3.18,0,166,25.73
2024-09-04 20:46:22,25.8,2.86,0,166,25.73
2024-09-04 20:46:23,29.7,2.99,0,166,25.51
2024-09-04 20:46:25,31.2,3.18,3,311,25.82
2024-09-04 20:46:26,29,3.59,6,379,27.57
2024-09-04 20:46:28,26.2,3.61,6,379,27.48
2024-09-04 20:46:29,29,3.62,6,379,27.40
2024-09-04 20:46:30,27.4,3.62,6,379,27.63
2024-09-04 20:46:32,29,3.62,6,379,27.72
2024-09-04 20:46:33,30.6,3.62,6,379,27.67
2024-09-04 20:46:34,27.4,3.62,6,379,27.72
2024-09-04 20:46:36,30.8,3.61,6,379,27.73
2024-09-04 20:46:37,1.6,2.65,5,166,27.17
2024-09-04 20:46:39,25.8,2.75,0,166,25.74
2024-09-04 20:46:40,26.2,2.93,0,166,12.67
2024-09-04 20:46:41,26.2,3.05,0,166,9.44
2024-09-04 20:46:43,27.4,3.60,17,413,35.12
2024-09-04 20:46:44,31.2,3.61,16,413,40.76
2024-09-04 20:46:45,28.6,3.62,18,413,36.15
2024-09-04 20:46:47,29,3.64,18,413,37.70
2024-09-04 20:46:48,30.2,3.64,18,413,37.92
2024-09-04 20:46:50,26.2,3.64,18,413,37.67
2024-09-04 20:46:51,51.6,3.66,0,327,27.60
2024-09-04 20:46:52,25.4,2.88,0,166,25.88
2024-09-04 20:46:54,28.1,2.98,0,166,24.32
2024-09-04 20:46:55,31.2,3.17,2,291,15.99
2024-09-04 20:46:56,28.6,3.63,6,353,27.41
2024-09-04 20:46:58,27.4,3.63,6,353,27.78
2024-09-04 20:46:59,29,3.63,6,353,27.51
2024-09-04 20:47:00,29,3.64,6,353,27.68
2024-09-04 20:47:02,32.3,3.65,6,353,27.66
2024-09-04 20:47:03,26.7,3.65,6,353,27.50
2024-09-04 20:47:05,29,2.72,4,166,27.38
2024-09-04 20:47:06,27.4,2.83,0,166,25.94
2024-09-04 20:47:07,27.4,2.97,0,166,23.35
2024-09-04 20:47:09,27,3.07,0,291,10.37
2024-09-04 20:47:10,30.2,3.60,8,359,33.75
2024-09-04 20:47:11,27.9,3.62,9,359,31.29
2024-09-04 20:47:13,27.4,3.62,8,359,29.12
2024-09-04 20:47:14,30.2,3.62,9,359,29.68
2024-09-04 20:47:16,30,3.63,9,359,29.74
2024-09-04 20:47:17,100,2.62,6,166,29.02
2024-09-04 20:47:18,29.7,2.65,0,166,25.68
2024-09-04 20:47:20,26.2,2.88,0,166,23.02
2024-09-04 20:47:21,27.4,2.98,0,166,12.30
2024-09-04 20:47:22,27.4,3.30,1,373,19.01
2024-09-04 20:47:24,26.2,3.44,6,373,31.91
2024-09-04 20:47:25,29,3.45,6,373,27.77
2024-09-04 20:47:26,30.2,3.46,6,373,27.67
2024-09-04 20:47:28,29,3.46,6,373,27.74
2024-09-04 20:47:29,29,2.63,0,166,26.26
2024-09-04 20:47:31,29,2.89,0,166,16.41
2024-09-04 20:47:32,27.4,2.99,0,166,13.18
2024-09-04 20:47:33,29,3.37,2,369,21.64
2024-09-04 20:47:35,29,3.57,7,369,33.74
2024-09-04 20:47:36,27.9,3.58,7,369,28.89
2024-09-04 20:47:37,29,3.58,8,369,28.64
2024-09-04 20:47:39,27.4,3.58,8,369,28.86
2024-09-04 20:47:40,27.4,3.58,7,369,29.00
2024-09-04 20:47:42,29,3.59,8,369,28.97
2024-09-04 20:47:43,27.4,2.64,2,166,28.03
2024-09-04 20:47:44,25,2.86,0,166,26.01
2024-09-04 20:47:46,27.4,2.97,0,166,16.99
2024-09-04 20:47:47,29,3.15,0,293,15.26
2024-09-04 20:47:48,26.2,3.44,6,379,33.20
2024-09-04 20:47:50,34.9,3.45,6,379,27.79
2024-09-04 20:47:51,28.3,3.45,6,379,27.47
2024-09-04 20:47:52,29.7,3.46,6,379,27.67
2024-09-04 20:47:54,30.2,3.46,6,379,27.79
2024-09-04 20:47:55,29,3.46,6,379,27.92
2024-09-04 20:47:57,28.6,3.44,6,379,27.85
2024-09-04 20:47:58,29,3.44,6,379,27.73
2024-09-04 20:47:59,24.2,2.67,0,166,26.43
2024-09-04 20:48:01,25.8,2.88,0,166,24.07
2024-09-04 20:48:02,27.4,2.98,0,166,17.90
2024-09-04 20:48:03,27.4,3.48,2,387,28.04
2024-09-04 20:48:05,29,3.57,11,387,39.62
2024-09-04 20:48:06,29.5,3.58,11,387,33.49
2024-09-04 20:48:08,52.4,3.59,11,387,32.18
2024-09-04 20:48:09,29,3.58,12,387,33.72
2024-09-04 20:48:10,27.4,3.58,12,387,33.65
2024-09-04 20:48:12,26.7,3.58,12,387,33.63
2024-09-04 20:48:13,29,3.59,12,387,33.59
2024-09-04 20:48:14,27.9,3.55,12,387,33.75
2024-09-04 20:48:16,27.4,2.63,0,166,30.26
