Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-05 02:06:17,27.9,2.90,11,254,30.11
2024-09-05 02:06:18,28.6,2.90,12,254,30.03
2024-09-05 02:06:19,28.1,2.90,12,254,30.01
2024-09-05 02:06:21,30.2,2.88,12,254,30.13
2024-09-05 02:06:22,28.6,2.88,11,254,29.99
2024-09-05 02:06:24,27.9,2.88,12,254,30.11
2024-09-05 02:06:25,29,2.88,12,254,30.07
2024-09-05 02:06:26,27.9,2.88,12,254,30.06
2024-09-05 02:06:28,29,2.88,11,254,30.04
2024-09-05 02:06:29,27.4,2.89,11,254,30.03
2024-09-05 02:06:30,27.4,2.88,12,254,30.02
2024-09-05 02:06:32,28.6,2.89,11,254,30.15
2024-09-05 02:06:33,26.2,2.89,11,254,30.26
2024-09-05 02:06:35,28.6,2.89,11,186,30.21
2024-09-05 02:06:36,31.2,1.81,0,2,25.91
2024-09-05 02:06:37,28.1,2.03,0,2,17.20
2024-09-05 02:06:39,31.2,2.13,0,2,10.38
2024-09-05 02:06:40,26.2,2.43,2,152,15.52
2024-09-05 02:06:41,25,2.98,10,256,31.54
2024-09-05 02:06:43,27.9,2.99,11,256,29.58
2024-09-05 02:06:44,27,2.99,11,256,29.53
2024-09-05 02:06:45,27.4,2.99,11,256,29.54
2024-09-05 02:06:47,27.9,2.99,10,256,29.42
2024-09-05 02:06:48,26.2,3.01,11,256,29.43
2024-09-05 02:06:50,30.2,3.01,11,256,29.33
2024-09-05 02:06:51,28.6,3.01,11,256,29.39
2024-09-05 02:06:52,30.6,2.99,11,256,29.39
2024-09-05 02:06:54,28.6,2.98,11,256,29.42
2024-09-05 02:06:55,28.6,2.98,11,256,29.34
2024-09-05 02:06:56,29,3.00,10,256,29.46
2024-09-05 02:06:58,27.9,3.00,11,256,29.41
2024-09-05 02:06:59,28.6,3.00,11,256,29.58
2024-09-05 02:07:01,29,3.01,10,256,29.51
2024-09-05 02:07:02,27.4,2.99,10,256,29.54
2024-09-05 02:07:03,27.4,2.99,11,256,29.63
2024-09-05 02:07:05,28.6,2.99,10,256,29.61
2024-09-05 02:07:06,26.2,2.99,11,256,29.50
2024-09-05 02:07:07,26.2,3.00,11,256,29.56
2024-09-05 02:07:09,6.2,1.81,2,2,28.80
2024-09-05 02:07:10,28.6,1.85,0,2,25.65
2024-09-05 02:07:12,27,2.04,0,2,18.78
2024-09-05 02:07:13,25.8,2.14,0,2,10.34
2024-09-05 02:07:14,28.6,2.62,1,488,17.04
2024-09-05 02:07:16,29.7,2.94,44,558,65.20
2024-09-05 02:07:17,26.2,2.95,44,560,64.13
2024-09-05 02:07:18,25.8,2.95,43,560,64.11
2024-09-05 02:07:20,29.7,2.95,44,560,65.34
2024-09-05 02:07:21,27.9,2.96,44,560,64.60
2024-09-05 02:07:23,26.2,2.96,44,560,65.28
2024-09-05 02:07:24,27.4,2.97,44,560,65.15
2024-09-05 02:07:25,30.8,2.97,44,560,65.65
2024-09-05 02:07:27,27.4,2.96,45,560,65.02
2024-09-05 02:07:28,29.7,2.96,44,560,65.54
2024-09-05 02:07:29,29.7,2.96,44,560,65.02
2024-09-05 02:07:31,27.9,2.96,44,560,65.98
2024-09-05 02:07:32,29,2.97,44,560,65.64
2024-09-05 02:07:33,27.9,2.97,45,560,65.99
2024-09-05 02:07:35,27.4,2.96,44,560,65.14
2024-09-05 02:07:36,29,2.96,45,560,65.43
2024-09-05 02:07:38,26.2,2.96,43,560,65.24
2024-09-05 02:07:39,27.4,2.97,44,560,66.33
2024-09-05 02:07:40,26.2,2.97,43,560,65.23
2024-09-05 02:07:42,31.7,2.96,44,560,65.17
2024-09-05 02:07:43,30.2,2.96,45,560,66.54
2024-09-05 02:07:44,25.8,2.96,44,560,66.25
2024-09-05 02:07:46,28.6,2.95,45,560,65.75
2024-09-05 02:07:47,27.4,2.96,41,560,65.89
2024-09-05 02:07:49,28.6,2.96,43,560,65.62
2024-09-05 02:07:50,29,2.96,44,560,65.93
2024-09-05 02:07:51,28.6,2.97,45,560,65.94
2024-09-05 02:07:53,27.4,2.97,44,560,66.32
2024-09-05 02:07:54,29,2.97,45,560,66.74
2024-09-05 02:07:55,25,2.97,44,560,65.13
2024-09-05 02:07:57,29.5,2.97,44,560,66.70
2024-09-05 02:07:58,26.2,2.97,44,560,65.39
2024-09-05 02:07:59,26.2,2.97,44,560,65.60
2024-09-05 02:08:01,27.4,2.97,43,560,66.13
2024-09-05 02:08:02,27.4,2.97,44,560,66.40
2024-09-05 02:08:04,26.2,2.97,40,560,65.99
2024-09-05 02:08:05,28.6,2.96,44,560,66.56
2024-09-05 02:08:06,26.2,2.97,41,560,66.65
2024-09-05 02:08:08,30.2,2.97,42,560,66.76
2024-09-05 02:08:09,28.6,2.96,44,560,66.63
2024-09-05 02:08:11,28.6,2.95,42,560,65.40
2024-09-05 02:08:12,31.7,2.95,45,560,67.64
2024-09-05 02:08:13,26.2,1.85,0,2,31.50
2024-09-05 02:08:15,27.9,2.04,0,2,28.56
2024-09-05 02:08:16,50,2.14,0,2,22.84
2024-09-05 02:08:17,26.2,2.68,1,376,25.48
2024-09-05 02:08:19,29,2.93,23,378,47.00
2024-09-05 02:08:20,28.6,2.93,24,378,39.58
2024-09-05 02:08:21,29.7,2.95,23,378,39.57
2024-09-05 02:08:23,26.7,2.95,23,378,39.69
2024-09-05 02:08:24,27.4,2.95,23,378,39.55
2024-09-05 02:08:26,29,2.96,23,378,39.71
2024-09-05 02:08:27,31.7,2.96,23,378,39.20
2024-09-05 02:08:28,28.6,2.96,24,378,39.64
2024-09-05 02:08:30,29,2.96,24,378,39.20
2024-09-05 02:08:31,26.7,2.96,23,378,39.40
2024-09-05 02:08:33,28.1,1.81,0,2,26.62
2024-09-05 02:08:34,26.2,1.99,0,2,21.32
2024-09-05 02:08:35,25.8,2.11,0,2,18.07
2024-09-05 02:08:37,22.2,2.24,0,19,11.46
2024-09-05 02:08:38,27.9,2.95,8,234,33.28
2024-09-05 02:08:39,27.4,2.96,9,234,30.35
2024-09-05 02:08:41,30.8,2.98,9,234,29.39
2024-09-05 02:08:42,31.2,2.98,9,234,29.39
2024-09-05 02:08:43,29.7,2.99,9,234,29.26
2024-09-05 02:08:45,28.6,2.99,9,234,29.34
2024-09-05 02:08:46,25.8,2.99,8,234,29.27
2024-09-05 02:08:48,28.6,2.99,9,234,29.32
2024-09-05 02:08:49,27.4,2.99,9,234,29.23
2024-09-05 02:08:50,27.4,2.99,9,234,29.28
2024-09-05 02:08:52,29,2.97,8,234,29.20
2024-09-05 02:08:53,26.2,2.96,9,234,29.32
2024-09-05 02:08:54,27,2.97,8,234,29.17
2024-09-05 02:08:56,28.6,2.97,9,234,29.19
2024-09-05 02:08:57,32.8,2.98,9,234,29.19
2024-09-05 02:08:59,28.6,2.98,8,234,29.16
2024-09-05 02:09:00,27.4,2.98,9,234,29.30
2024-09-05 02:09:01,27.4,2.99,9,234,29.26
2024-09-05 02:09:03,27.9,2.99,9,234,29.17
2024-09-05 02:09:04,25,2.99,9,234,29.03
2024-09-05 02:09:05,27.4,2.99,9,234,28.98
2024-09-05 02:09:07,28.6,2.99,9,234,28.86
2024-09-05 02:09:08,27.4,2.99,9,234,28.95
2024-09-05 02:09:09,30.2,2.99,9,234,29.06
2024-09-05 02:09:11,28.6,2.99,9,234,29.02
2024-09-05 02:09:12,29,2.98,9,234,29.21
2024-09-05 02:09:14,28.6,2.98,9,234,29.15
2024-09-05 02:09:15,26.2,2.96,9,234,29.00
2024-09-05 02:09:16,28.6,2.97,9,234,29.01
2024-09-05 02:09:18,26.2,2.98,9,234,29.03
2024-09-05 02:09:19,28.6,2.99,8,234,29.04
2024-09-05 02:09:20,30.2,2.99,9,234,29.01
2024-09-05 02:09:22,29.7,2.99,9,234,28.96
2024-09-05 02:09:23,25.8,2.99,9,234,28.94
2024-09-05 02:09:25,29,2.99,9,234,28.98
2024-09-05 02:09:26,29,2.99,9,234,29.03
2024-09-05 02:09:27,30.2,2.99,9,234,29.06
2024-09-05 02:09:29,27.9,2.98,9,234,28.96
2024-09-05 02:09:30,26.2,2.99,9,234,28.95
2024-09-05 02:09:31,27.4,2.99,9,234,28.97
2024-09-05 02:09:33,26.2,2.99,9,234,28.90
2024-09-05 02:09:34,29,2.99,9,234,28.80
2024-09-05 02:09:36,32.8,2.47,6,5,28.65
2024-09-05 02:09:37,27.9,2.52,25,378,33.64
2024-09-05 02:09:38,29,2.53,25,378,39.33
2024-09-05 02:09:40,30.6,2.54,24,378,39.13
2024-09-05 02:09:41,29.5,2.54,25,378,39.37
2024-09-05 02:09:43,29.5,2.54,25,378,39.34
2024-09-05 02:09:44,34.4,2.54,22,378,39.10
2024-09-05 02:09:45,32.8,2.54,25,378,39.48
2024-09-05 02:09:47,30.6,2.55,22,378,39.18
2024-09-05 02:09:48,31.7,2.55,25,378,39.40
2024-09-05 02:09:49,98.4,2.57,0,182,33.20
2024-09-05 02:09:51,28.6,2.66,0,182,25.63
2024-09-05 02:09:52,27,2.86,0,182,25.53
2024-09-05 02:09:53,27,2.97,0,182,25.53
2024-09-05 02:09:55,26.2,3.59,2,523,25.85
2024-09-05 02:09:56,29,3.74,26,555,40.54
2024-09-05 02:09:58,29,3.75,21,555,39.25
2024-09-05 02:09:59,26.2,3.75,28,555,40.54
2024-09-05 02:10:00,26.2,3.75,27,555,39.33
2024-09-05 02:10:02,29,3.75,27,555,40.58
2024-09-05 02:10:03,26.2,3.75,27,555,39.80
2024-09-05 02:10:04,27.9,3.75,27,555,39.97
2024-09-05 02:10:06,27.9,3.75,26,555,39.96
2024-09-05 02:10:07,27.4,3.75,26,555,40.08
2024-09-05 02:10:09,53.2,3.78,0,361,26.98
2024-09-05 02:10:10,24.2,2.81,0,182,25.72
2024-09-05 02:10:11,27.4,2.94,0,182,20.03
2024-09-05 02:10:13,54,3.07,0,307,13.75
