Column,MAE,RMSE,POCID
ABBV,2.501549857003352,2.8349222179398454,1.2769804148102468
ACN,4.364113943917411,5.10234679501952,1.321835032492758
AEP,0.8506338936941944,1.041984394959592,0.8710283910546704
AIZ,2.585096086774558,3.0299138626622932,1.3650209050831794
ALLE,2.5081089564732144,3.235722756178818,1.8794975485265568
AMAT,3.3939230782645047,3.8643094255255903,1.6465114111910566
AMP,4.935655866350463,5.76827436955144,1.136821301352576
AMZN,2.141627720424107,2.513054821045517,1.2046118154253718
AVB,2.6442762102399473,3.436033432268182,1.2178949915042674
AVY,2.587099347795759,3.466692724414403,1.205962344766021
AXP,2.073150634765621,2.6843811794045616,0.8264691406156328
BDX,0.5120653424944156,0.612329265930566,0.21726222461290767
BF-B,0.22307096208844662,0.29521428214067574,0.49513166753581606
BMY,0.5874753679548002,0.7240133206240147,1.2053602596225947
BR,0.7311008998325974,0.9819266676463793,0.3489575144741185
CARR,1.8805498395647322,2.308768281600576,2.7285416022845075
CDW,3.134850638253348,3.7934759152056823,1.4015069299270215
CE,1.404264177594866,1.8391017917640387,1.081915258164349
CHTR,5.092834472656242,6.946598604292594,1.4591215355756078
CNC,0.37364087785993305,0.4420244108377777,0.47740044340893356
CNP,0.42028563363211546,0.6118723159777695,1.6051939075655677
COP,0.9013911655970942,1.0901271390478091,0.8142227965134298
CTAS,13.293212890625,16.062484427243625,1.7125857617277882
CZR,0.48623766217912945,0.7184570276555965,1.318125501295796
DG,0.709197998046873,0.9975066826679236,0.5767378154085323
DPZ,12.515624999999991,15.336648913955209,2.9058510255971273
DXC,0.6645208086286267,0.7842180854108348,3.35665002088201
EWA,0.4719562530517593,0.5670198821736867,1.8637559130927417
EWC,0.3781122480119978,0.4844923307192456,0.9560360305840478
EWG,0.5320347377232147,0.6336669310745702,1.6732155617095517
EWH,0.09690148489815822,0.1267091223655017,0.6171507607264246
EWJ,1.2938461303710938,1.5661466120296264,1.8401273629437152
EWL,0.8714098249162946,1.037560055347949,1.6914479897387042
EWQ,0.6475067138671885,0.7753525590547147,1.646761724106224
EWT,0.5794764927455357,0.6927862510587132,1.073985390928646
EWU,0.4223447527204241,0.5334961363697898,1.1491034045535191
EWY,0.8704190935407367,1.066657837256373,1.3176474788737245
EWZ,0.3238345554896758,0.41229108915268636,1.0654955997310134
FTV,1.789522443498884,2.3041257611706967,2.513676807955906
GOOG,2.530853271484375,3.014639839082603,1.517571049785434
GPC,1.7913469587053572,2.5429884542879413,1.275420955310447
GSG,0.1689131600516188,0.23516882286218038,0.8052796678711447
HIG,1.109623500279022,1.335031483554028,0.9978884834008172
HIGH.L,0.011808327266148413,0.014344131642768286,0.20460479589902775
HST,0.3846503666469029,0.5127535189728795,2.2882234393967416
HYG,0.2292600359235491,0.2915446914442874,0.29019732830609934
IAU,0.16414642333984272,0.20699567058105253,0.3466870718766841
