Column,MAE,RMSE,POCID
ABBV,2.078290666852691,2.377852106605237,1.0609168833568672
ACN,3.6943272181919644,4.229854503609307,1.1189650869001393
AEP,0.6017674037388454,0.7269343545810639,0.6161951661618468
AIZ,2.2594996861049066,2.6137087734651843,1.1930946483348466
ALLE,2.3755645751953125,3.003887857204856,1.780172980094298
AMAT,3.9942648751395047,4.371956288318563,1.9377583240925385
AMP,2.7527335030692126,3.237355061969127,0.6340324706531663
AMZN,1.7539258684430803,2.2695881143830334,0.9865392590680243
AVB,2.0125514439174026,2.7699856686283097,0.9269365712250122
AVY,2.091522216796875,2.918530697575407,0.9749517500545984
AXP,2.0530242919921835,2.356607622937903,0.8184456998985145
BDX,0.9512634277343709,1.2124734635407077,0.40360788233724926
BF-B,0.14213616507393972,0.2071208739131151,0.3154875729737606
BMY,0.721414293561664,0.9398960476520061,1.4801711997052471
BR,0.8343614850725446,1.1080216680726804,0.3982442232946459
CARR,1.8658033098493303,2.1843096998753024,2.7071454558111383
CDW,2.54249354771207,3.293933902932944,1.136680096630884
CE,0.8786054338727679,1.2144624124061514,0.6769215080606431
CHTR,5.559949602399562,7.607493234906928,1.5929522636428768
CNC,0.22627694266183035,0.25957410953220844,0.2891137430644592
CNP,0.387231554303851,0.564695743643875,1.478950699346935
COP,0.8984364100864914,1.1072583146730448,0.8115537784592505
CTAS,11.360316685267858,13.994663004860332,1.4635676690041806
CZR,0.5173541477748326,0.6421534363367466,1.4024781468530823
DG,0.9094510759626095,0.99663465240985,0.7395887019085294
DPZ,13.253928048270081,16.360125005339057,3.0772686471715294
DXC,0.4833341326032361,0.5888581316794591,2.441433744781834
EWA,0.3598452976771779,0.45896427912923415,1.4210295912127822
EWC,0.4089017595563616,0.4720768748065265,1.0338856177245346
EWG,0.44037764413016334,0.5302263376317874,1.3849598060849115
EWH,0.08924634116036577,0.097554979300892,0.5683963191797963
EWJ,1.389813014439174,1.5211132827945797,1.9766129041258593
EWL,0.7674440656389508,0.9308237963053676,1.4896454973830402
EWQ,0.520395006452289,0.6546545812516059,1.3234867835168351
EWT,0.6120060511997768,0.6761950536474688,1.134274757262883
EWU,0.37069811139787945,0.4434878823424166,1.008584714560995
EWY,0.856949942452567,0.9474943729246211,1.2972577687839544
EWZ,0.34501947675432426,0.41105195290261354,1.1351992184631117
FTV,1.6274893624441964,2.095966932806091,2.286074857810785
GOOG,2.109161376953125,2.6068876855239766,1.264712688425567
GPC,1.7365679059709822,2.4257422659866403,1.2364188226247879
GSG,0.18321718488420707,0.251255287003732,0.8734729357188793
HIG,0.783675057547437,0.9538301638013534,0.704761853420026
HIGH.L,0.00940861020769417,0.011855798470664605,0.16302451040270655
HST,0.3478314535958426,0.4600860538843115,2.069193621250525
HYG,0.21399361746651785,0.25469867754670666,0.2708730974989876
IAU,0.47821480887276885,0.5379488977525426,1.0100183022137559
ICLN,0.12669481549944145,0.15060986200098403,0.8896215304895162
IEAA.L,0.006842681339808873,0.008318441874623557,0.13435651387466982
IEF,0.30192565917968955,0.41199233295258486,0.30996254933427375
IEFM.L,4.0968715122768185,4.432833933916541,0.43362970969387304
IEMG,0.3227097647530702,0.37660872150233893,0.5909352945735749
IEUS,0.8197838919503349,1.003924280191364,1.3914857474345188
IEVL.L,0.06517478397914342,0.07615162658322125,0.7558124057130403
IGF,0.4490999494280134,0.5072738672990276,0.8706862203658898
INDA,0.253943852015905,0.32259770668932014,0.44821154083472026
IUMO.L,0.1638065065656387,0.1834311527886188,1.1705242286136814
IUVL.L,0.11751992361886186,0.14414720535664574,1.2207144400371608
IVV,6.010262625558036,6.524418893167462,1.0711789437677248
IWM,2.332672119140613,3.334840778295762,1.0867762586411218
IXN,1.324328831263951,1.4565264240411278,1.6095671056806184
JPEA.L,0.03349781036376953,0.03944407791567941,0.5860944639823171
JPM,1.4623020717075772,1.9370491530844487,0.6790350870054075
KR,0.6842144557407904,0.8088798950267997,1.3012827316076538
LQD,0.43814304896762984,0.5145274929292231,0.39257114972454576
MCHI,0.3548567635672453,0.4619657910323422,0.8364472393400376
META,3.8697073800223216,4.620255478601949,0.7309333688197197
MVEU.L,0.32799857003348315,0.4044401084196905,0.5379860588244171
OGN,0.524296624319894,0.7565799142926187,2.5010742646611437
PG,1.352262224469866,1.6351196203272362,0.7994185915398868
PPL,0.25041416713169645,0.31090037463863757,0.796446537279116
PRU,1.2727552141462053,1.6858326736110218,1.110980898984648
PYPL,2.4133573259626115,2.8542484288845418,3.434196943939815
REET,0.28176661900111555,0.3730657254608834,1.108756175683268
ROL,1.2281875610351562,1.4561877918929182,2.488872686116046
ROST,3.250309535435268,4.481046426543737,2.1636173223693547
SEGA.L,0.2202529907226603,0.2643050093192934,0.2323046235382933
SHY,0.07519313267299108,0.1023915364908728,0.09100137056057517
SLV,0.3163610185895637,0.38190840182385694,1.1836061480686004
SPMV.L,0.8632332938058097,0.9794713415872669,0.8993619619512792
TLT,0.5763168334960918,0.7317317943701774,0.5878127674049606
UNH,2.1911533900669644,2.918071601935016,0.3781492429634204
URI,8.231358119419642,12.486741365311387,1.1405489635056298
V,1.0458809988839286,1.216444310818643,0.39091047596079814
VRSK,1.6936296735491072,1.9683988794232041,0.6310801046505408
VXX,1.0267508370535725,1.2727322881115541,2.2268457252520184
WRK,0.0,0.0,0.0
XLB,0.8065087454659619,1.0620478429389792,0.8838175318081469
XLC,0.7402529035295758,0.8576824811682612,0.8510330907818751
XLE,0.8982696533203105,1.2008294432991313,0.9996959425868936
XLF,0.2622577122279576,0.30762283618099867,0.5966213857013789
